PARTIDO_CI,ID_ENTIDAD,ID_DISTRITO_FEDERAL,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
PRI-PRD,15,031,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM_PT_MORENA,15,031,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_PT,15,031,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_MORENA,15,031,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PT_MORENA,15,031,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN,15,032,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI,15,032,Enrique Vargas del Villar,Héctor Quezada Quezada
PRD,15,032,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM,15,032,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PT,15,032,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
MC,15,032,Fernando Alberto García Cuévas,Julio de Jesús Ramos García
MORENA,15,032,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN-PRI-PRD,15,032,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRI,15,032,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRD,15,032,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI-PRD,15,032,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM_PT_MORENA,15,032,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_PT,15,032,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_MORENA,15,032,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PT_MORENA,15,032,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN,15,033,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI,15,033,Enrique Vargas del Villar,Héctor Quezada Quezada
PRD,15,033,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM,15,033,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PT,15,033,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
MC,15,033,Fernando Alberto García Cuévas,Julio de Jesús Ramos García
MORENA,15,033,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN-PRI-PRD,15,033,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRI,15,033,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRD,15,033,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI-PRD,15,033,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM_PT_MORENA,15,033,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_PT,15,033,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_MORENA,15,033,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PT_MORENA,15,033,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN,15,034,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI,15,034,Enrique Vargas del Villar,Héctor Quezada Quezada
PRD,15,034,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM,15,034,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
