PARTIDO_CI,ID_ENTIDAD,ID_DISTRITO_FEDERAL,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
PT,16,009,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
MC,16,009,Carlos Herrera Tello,Armando Flores Martínez
MORENA,16,009,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN-PRI-PRD,16,009,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRI,16,009,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRD,16,009,Araceli Saucedo Reyes,Verónica García Reyes
PRI-PRD,16,009,Araceli Saucedo Reyes,Verónica García Reyes
PVEM_PT_MORENA,16,009,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_PT,16,009,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_MORENA,16,009,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT_MORENA,16,009,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN,16,010,Araceli Saucedo Reyes,Verónica García Reyes
PRI,16,010,Araceli Saucedo Reyes,Verónica García Reyes
PRD,16,010,Araceli Saucedo Reyes,Verónica García Reyes
PVEM,16,010,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT,16,010,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
MC,16,010,Carlos Herrera Tello,Armando Flores Martínez
MORENA,16,010,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN-PRI-PRD,16,010,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRI,16,010,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRD,16,010,Araceli Saucedo Reyes,Verónica García Reyes
PRI-PRD,16,010,Araceli Saucedo Reyes,Verónica García Reyes
PVEM_PT_MORENA,16,010,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_PT,16,010,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_MORENA,16,010,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT_MORENA,16,010,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN,16,011,Araceli Saucedo Reyes,Verónica García Reyes
PRI,16,011,Araceli Saucedo Reyes,Verónica García Reyes
PRD,16,011,Araceli Saucedo Reyes,Verónica García Reyes
PVEM,16,011,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT,16,011,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
MC,16,011,Carlos Herrera Tello,Armando Flores Martínez
MORENA,16,011,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN-PRI-PRD,16,011,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRI,16,011,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRD,16,011,Araceli Saucedo Reyes,Verónica García Reyes
PRI-PRD,16,011,Araceli Saucedo Reyes,Verónica García Reyes
PVEM_PT_MORENA,16,011,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_PT,16,011,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_MORENA,16,011,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT_MORENA,16,011,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
